subject,page,view_idx,dom_product,dom_frac,gaze_on_bought_frac,label_dom_bought,click_in_window,n_valid
S17,1,0,2,0.538,0.54,1,1,600
S17,2,1,34,0.28,0.256,0,0,600
S17,3,2,56,0.267,0.161,0,0,600
S17,4,3,79,0.155,0.0,0,0,600
S17,5,4,101,0.315,0.39,0,1,600
S17,6,5,136,0.385,0.2,0,0,600
S17,1,6,13,0.197,0.265,0,0,600
S18,1,0,13,0.174,0.118,0,0,587
S18,2,1,31,0.237,0.0,0,0,579
S18,3,2,51,0.33,0.287,0,0,587
S18,4,3,77,0.196,0.074,0,0,586
S18,5,4,99,0.464,0.473,1,0,573
S18,6,5,133,0.268,0.091,0,0,600
S18,1,6,9,0.248,0.354,0,0,456
S18,2,7,39,0.158,0.0,0,0,600
S18,3,8,67,0.127,0.283,1,0,600
S18,4,9,85,0.173,0.104,0,0,600
S18,5,10,99,0.443,0.516,1,1,600
S18,6,11,134,0.123,0.048,0,0,600
S18,1,12,22,0.145,0.0,0,0,600
S19,1,0,1,0.622,0.0,0,0,540
S19,2,1,37,0.258,0.066,0,0,596
S19,3,2,50,0.66,0.702,1,0,600
S19,4,3,74,0.161,0.0,0,0,597
S19,5,4,97,0.452,0.506,1,0,600
S19,6,5,137,0.151,0.204,1,0,589
S19,1,6,14,0.228,0.232,1,0,600
S19,2,7,39,0.247,0.311,1,0,600
S19,3,8,49,0.308,0.226,0,0,600
S19,4,9,87,0.289,0.0,0,0,596
S19,5,10,97,0.568,0.573,1,0,600
S19,6,11,133,0.385,0.0,0,0,600
S19,1,12,11,0.24,0.012,0,0,597
S19,2,13,28,0.282,0.378,1,0,600
S19,3,14,69,0.265,0.0,0,0,600
S19,4,15,81,0.133,0.0,0,0,594
S19,5,16,105,0.353,0.159,0,0,597
S19,6,17,134,0.265,0.0,0,0,600
S20,1,0,1,0.527,0.0,0,0,600
S20,2,1,25,0.478,0.0,0,0,600
S20,3,2,50,0.503,0.519,1,0,600
S20,4,3,85,0.525,0.544,1,1,600
S20,5,4,99,0.533,0.0,0,0,584
S20,6,5,135,0.206,0.0,0,0,588
S20,1,6,13,0.171,0.281,1,0,574
S21,1,0,14,0.401,0.0,0,0,584
S21,2,1,31,0.248,0.285,1,0,589
S21,3,2,49,0.644,0.65,1,0,568
S21,4,3,73,0.239,0.124,0,0,573
S21,5,4,106,0.308,0.405,1,0,581
S21,6,5,122,0.388,0.045,0,0,570
S21,1,6,7,0.228,0.061,0,0,429
S22,1,0,14,0.26,0.261,1,0,600
S22,2,1,27,0.132,0.333,1,0,600
S22,3,2,61,0.252,0.65,1,0,600
S22,4,3,86,0.317,0.328,1,0,600
S22,5,4,102,0.307,0.452,1,1,600
S22,6,5,136,0.118,0.202,1,0,600
S22,1,6,9,0.1,0.239,0,0,600
S22,3,8,72,0.342,0.568,1,0,600
S23,1,0,1,0.27,0.005,0,0,559
S23,2,1,25,0.533,0.367,0,0,600
S23,3,2,49,0.563,0.624,1,0,600
S23,4,3,73,0.384,0.02,0,0,581
S23,5,4,97,0.702,0.146,0,0,583
S23,6,5,135,0.23,0.0,0,0,600
S23,1,6,19,0.145,0.164,0,0,593
S23,2,7,47,0.42,0.003,0,0,600
S23,3,8,66,0.252,0.081,0,0,600
S23,4,9,78,0.192,0.004,0,0,600
S23,5,10,118,0.537,0.681,1,0,600
S23,6,11,128,0.165,0.0,0,0,600
S24,1,0,1,0.393,0.13,0,0,600
S24,2,1,25,0.445,0.124,0,0,600
S24,3,2,49,0.498,0.378,0,0,582
S24,4,3,76,0.413,0.0,0,0,600
S24,5,4,100,0.416,0.0,0,0,574
S24,6,5,121,0.372,0.0,0,0,584
S24,1,6,1,0.361,0.128,0,0,599
S24,2,7,25,0.195,0.181,0,0,596
S24,3,8,51,0.133,0.115,0,0,600
S24,5,10,102,0.185,0.085,0,0,600
S24,6,11,130,0.24,0.358,1,0,600
S25,1,0,1,0.198,0.007,0,0,591
S25,2,1,30,0.151,0.0,0,0,591
S25,3,2,52,0.166,0.0,0,0,579
S25,4,3,73,0.121,0.0,0,0,593
S25,5,4,99,0.318,0.083,0,0,588
S25,6,5,134,0.157,0.071,0,0,585
S25,6,7,144,0.607,0.626,1,1,585
S25,1,8,13,0.175,0.043,0,0,590
S25,2,9,30,0.168,0.0,0,0,600
S25,3,10,64,0.11,0.0,0,0,589
S25,4,11,78,0.119,0.0,0,0,586
S25,5,12,97,0.272,0.149,0,0,600
S25,6,13,125,0.182,0.076,0,0,600
S25,1,14,17,0.2,0.079,0,0,464
S26,1,0,1,0.552,0.627,1,1,587
S26,2,1,25,0.177,0.3,0,1,600
S26,3,2,59,0.133,0.372,1,1,600
S26,4,3,81,0.358,0.438,1,1,600
S26,5,4,106,0.143,0.173,0,1,600
S26,6,5,132,0.31,0.326,0,0,583
S26,1,6,9,0.156,0.315,1,0,564
S27,1,0,1,0.242,0.0,0,0,600
S27,2,1,37,0.218,0.0,0,0,600
S27,3,2,50,0.413,0.002,0,0,600
S27,4,3,91,0.127,0.0,0,0,600
S27,5,4,102,0.428,0.433,1,0,600
S27,6,5,121,0.363,0.0,0,0,589
S27,1,6,19,0.255,0.0,0,0,600
S28,1,0,17,0.203,0.149,0,0,556
S28,2,1,26,0.26,0.012,0,0,585
S28,3,2,50,0.37,0.46,1,0,579
S28,4,3,85,0.275,0.0,0,0,563
S28,5,4,113,0.162,0.092,0,0,586
S28,6,5,143,0.193,0.047,0,0,555
S28,1,6,6,0.475,0.493,1,0,503
S29,1,0,3,0.12,0.073,0,0,600
S29,3,2,69,0.248,0.07,0,0,600
S29,4,3,78,0.157,0.0,0,0,600
S29,5,4,113,0.102,0.313,1,0,600
S29,6,5,130,0.097,0.081,0,0,599
S29,1,6,5,0.111,0.181,1,0,596
S29,2,7,35,0.225,0.197,0,0,600
S29,3,8,54,0.22,0.184,0,0,600
S29,4,9,89,0.113,0.0,0,0,600
S29,5,10,102,0.285,0.179,0,0,600
S29,6,11,133,0.323,0.438,1,0,592
S29,1,12,1,0.148,0.104,0,0,600
S29,2,13,48,0.225,0.0,0,0,592
S29,3,14,64,0.482,0.517,1,1,600
S29,6,17,136,0.307,0.45,0,0,600
S30,1,0,13,0.482,0.503,1,1,600
S30,2,1,38,0.26,0.426,0,1,600
S30,3,2,51,0.218,0.128,0,0,600
S30,4,3,74,0.172,0.079,0,0,600
S30,5,4,99,0.393,0.426,1,0,600
S30,6,5,123,0.19,0.239,1,1,600
S30,1,6,6,0.125,0.045,0,0,600
S30,2,7,26,0.487,0.727,1,0,600
S30,1,12,3,0.162,0.096,0,0,598
S31,1,0,2,0.215,0.004,0,0,600
S31,2,1,31,0.228,0.246,1,0,600
S31,3,2,50,0.42,0.945,1,1,600
S31,4,3,73,0.472,0.481,1,0,581
S31,5,4,103,0.382,0.384,1,0,600
S31,6,5,121,0.23,0.199,0,0,600
S31,1,6,12,0.179,0.338,1,0,502
S32,1,0,1,0.233,0.308,0,0,576
S32,2,1,25,0.515,0.005,0,0,586
S32,3,2,49,0.406,0.417,1,1,588
S32,4,3,75,0.188,0.0,0,0,576
S32,5,4,97,0.326,0.08,0,0,586
S32,6,5,133,0.324,0.523,1,0,590
S32,1,6,9,0.196,0.087,0,0,570
S33,1,0,17,0.185,0.271,0,0,600
S33,2,1,30,0.152,0.103,0,0,600
S33,3,2,65,0.267,0.468,0,0,600
S33,4,3,77,0.248,0.469,1,1,577
S33,5,4,102,0.377,0.275,0,1,600
S33,6,5,126,0.394,0.07,0,0,599
S34,1,0,5,0.492,0.275,0,0,362
S34,2,1,29,0.679,0.0,0,0,296
S34,3,2,53,0.755,0.078,0,0,379
S34,4,3,77,0.748,0.0,0,0,258
S34,5,4,101,0.76,0.004,0,0,288
S34,6,5,126,0.157,0.23,0,1,401
S34,1,6,19,0.29,0.488,1,0,496
S35,1,0,1,0.47,0.0,0,0,472
S35,2,1,25,0.644,0.681,1,0,584
S35,3,2,49,0.833,0.009,0,0,570
S35,4,3,85,0.532,0.557,1,1,600
S35,5,4,98,0.262,0.244,0,0,587
S35,6,5,121,0.644,0.811,1,0,573
S35,1,6,1,0.151,0.0,0,0,578
S36,1,0,2,0.24,0.114,0,0,572
S36,2,1,43,0.15,0.151,1,0,600
S36,3,2,50,0.199,0.178,0,0,589
S36,4,3,81,0.198,0.335,1,0,590
S36,5,4,99,0.318,0.333,1,0,591
S36,6,5,125,0.299,0.098,0,0,578
S36,1,6,19,0.192,0.077,0,0,594
S37,1,0,1,0.26,0.0,0,0,600
S37,2,1,25,0.517,0.435,0,0,600
S37,3,2,49,0.437,0.0,0,0,600
S37,4,3,86,0.207,0.207,0,0,600
S37,5,4,99,0.223,0.221,0,0,600
S37,6,5,121,0.198,0.244,0,0,581
S37,1,6,5,0.173,0.047,0,0,578
S38,1,0,14,0.277,0.357,1,0,591
S38,2,1,25,0.322,0.203,0,0,578
S38,3,2,50,0.214,0.564,1,0,588
S38,4,3,85,0.292,0.447,1,0,589
S38,5,4,111,0.126,0.366,0,0,589
S38,6,5,133,0.151,0.255,0,0,583
S38,1,6,23,0.179,0.0,0,0,580
S38,2,7,40,0.273,0.038,0,0,600
S38,3,8,57,0.588,0.692,1,0,600
S38,4,9,73,0.217,0.089,0,0,590
S39,1,0,2,0.203,0.123,0,0,600
S39,2,1,39,0.237,0.241,1,0,600
S39,3,2,61,0.327,0.327,1,1,600
S39,4,3,86,0.153,0.0,0,0,600
S39,5,4,109,0.155,0.068,0,0,600
S39,6,5,125,0.18,0.194,1,0,600
S40,1,0,2,0.234,0.0,0,0,589
S40,2,1,38,0.236,0.0,0,0,588
S40,3,2,50,0.285,0.269,0,0,600
S40,4,3,87,0.189,0.028,0,0,582
S40,5,4,109,0.288,0.088,0,0,600
S40,6,5,123,0.187,0.042,0,0,557
S40,1,6,16,0.308,0.325,1,0,587
S41,1,0,1,0.203,0.081,0,0,582
S41,2,1,31,0.177,0.202,0,0,600
S41,3,2,67,0.207,0.213,1,1,600
S41,4,3,93,0.23,0.244,1,0,600
S41,5,4,104,0.185,0.235,0,0,599
S41,6,5,139,0.138,0.148,1,1,579
S41,1,6,9,0.106,0.032,0,0,577
S41,3,8,56,0.165,0.109,0,0,599
S42,1,0,14,0.229,0.0,0,0,597
S42,2,1,25,0.555,0.0,0,0,128
S42,3,2,61,0.665,0.0,0,0,179
S42,4,3,73,0.215,0.108,0,0,587
S42,5,4,97,0.394,0.283,0,0,132
S42,6,5,137,0.259,0.305,1,0,595
S42,1,6,0,0.0,0.0,0,0,0
S42,2,7,26,0.408,0.0,0,0,600
S42,1,8,0,0.0,0.0,0,1,0
S42,3,10,0,0.0,0.0,0,1,0
S43,1,0,3,0.249,0.115,0,0,591
S43,2,1,39,0.14,0.062,0,0,600
S43,3,2,64,0.378,0.477,1,1,592
S43,4,3,95,0.115,0.126,1,0,598
S43,5,4,120,0.298,0.358,1,0,588
S43,6,5,122,0.371,0.54,1,1,598
S43,1,6,6,0.246,0.089,0,0,524
S44,1,0,2,0.248,0.113,0,0,589
S44,2,1,25,0.144,0.0,0,0,575
S44,3,2,60,0.193,0.31,1,1,592
S44,4,3,89,0.36,0.37,1,1,592
S44,4,5,80,0.456,0.459,1,0,581
S44,5,6,110,0.303,0.291,0,0,567
S44,6,7,135,0.099,0.128,0,0,587
S44,1,8,0,0.0,0.0,0,0,0
